Day_month,Date,Input_Hoa_Binh,Yen_Bai,Vu_Quang,Evaporation,Demand,H_Up (m),Energy_demand,Qtu_(m3/s),Qbot_(m3/s),Qspill_(m3/s),Q_Sơn Tây,Q_Hà Nội,H Hà Nội
04-12,2021-04-12,143.0,86.6,277.0,0.0065419847328244,260.0,103.49,9379.280820000002,496.0,0.0,0.0,603.0,427.0,83.0
04-13,2021-04-13,138.0,82.7,277.0,0.0065419847328244,260.0,103.33,8957.43299,476.0,0.0,0.0,682.0,341.0,66.0
04-14,2021-04-14,156.0,81.9,283.0,0.0065419847328244,260.0,103.16,10487.52192,555.0,0.0,0.0,766.0,327.0,63.0
04-15,2021-04-15,140.0,98.6,288.0,0.0065419847328244,260.0,102.98,8923.367530000001,474.0,0.0,0.0,818.0,376.0,73.0
04-16,2021-04-16,184.0,138.0,304.0,0.0065419847328244,260.0,102.89,3840.61341,216.0,0.0,0.0,828.0,407.0,79.0
04-17,2021-04-17,247.0,157.0,311.0,0.0065419847328244,260.0,102.92,2623.81892,153.0,0.0,0.0,749.0,432.0,84.0
04-18,2021-04-18,231.0,157.0,304.0,0.0065419847328244,260.0,102.93,4972.44741,273.0,0.0,0.0,688.0,481.0,93.0
04-19,2021-04-19,305.0,131.0,293.0,0.0065419847328244,260.0,102.89,11952.36653,630.0,0.0,0.0,691.0,493.0,95.0
04-20,2021-04-20,259.0,202.0,304.0,0.0065419847328244,260.0,102.79,11663.34984,617.0,0.0,0.0,861.0,564.0,107.0
04-21,2021-04-21,331.0,226.0,313.0,0.0065419847328244,139.0,102.62,14934.32834,785.0,0.0,0.0,1020.0,675.0,125.0
04-22,2021-04-22,270.0,184.0,348.0,0.0065419847328244,139.0,102.35,16978.79989,895.0,0.0,0.0,1170.0,745.0,136.0
04-23,2021-04-23,310.0,232.0,388.0,0.0065419847328244,139.0,102.12,4626.24524,257.0,0.0,0.0,1500.0,906.0,159.0
04-24,2021-04-24,520.0,302.0,339.0,0.0067343511450381,139.0,102.17,5209.916319999999,286.0,0.0,0.0,1200.0,822.0,147.0
04-25,2021-04-25,346.0,418.0,315.0,0.0069267175572518,139.0,102.24,5161.02174,284.0,0.0,0.0,906.0,634.0,119.0
04-26,2021-04-26,472.0,267.0,312.0,0.0071190839694656,139.0,102.3,9597.56773,511.0,0.0,0.0,922.0,532.0,102.0
04-27,2021-04-27,461.0,188.0,340.0,0.0073114503816793,139.0,102.26,15944.067499999996,840.0,0.0,0.0,1080.0,476.0,92.0
04-28,2021-04-28,541.0,205.0,395.0,0.0075038167938931,139.0,102.01,18823.058620000003,991.0,0.0,0.0,1360.0,625.0,117.0
04-29,2021-04-29,560.0,244.0,426.0,0.0076961832061068,139.0,101.8,17814.80588,942.0,0.0,0.0,1600.0,830.0,149.0
04-30,2021-04-30,536.0,334.0,417.0,0.0078885496183205,233.0,101.61,13980.68891,744.0,0.0,0.0,1670.0,942.0,164.0
05-01,2021-05-01,559.0,260.0,397.0,0.0080809160305343,233.0,101.57,8195.24057,427.0,0.0,0.0,1550.0,996.0,171.0
05-02,2021-05-02,537.0,256.0,370.0,0.008273282442748,233.0,101.51,17486.337729999996,941.0,0.0,0.0,1340.0,903.0,158.0
05-03,2021-05-03,646.0,238.0,384.0,0.0084656488549618,233.0,101.32,23523.695,1240.0,0.0,0.0,1450.0,896.0,158.0
05-04,2021-05-04,582.0,293.0,460.0,0.0084656488549618,233.0,100.94,31923.504040000003,1635.0,0.0,0.0,1880.0,1070.0,181.0
05-05,2021-05-05,518.0,260.0,506.0,0.0084656488549618,233.0,100.37,33099.02553,1804.0,0.0,0.0,2450.0,1460.0,230.0
05-06,2021-05-06,450.0,212.0,536.0,0.0084656488549618,233.0,99.67,36466.7321,2014.0,0.0,0.0,2670.0,1610.0,248.0
05-07,2021-05-07,394.0,175.0,577.0,0.0084656488549618,233.0,98.79,40095.80635,2265.0,0.0,0.0,2910.0,1700.0,258.0
05-08,2021-05-08,416.0,153.0,554.0,0.0084656488549618,233.0,97.9,36063.24209,2039.0,0.0,0.0,2970.0,1760.0,265.0
05-09,2021-05-09,365.0,134.0,503.0,0.0084656488549618,233.0,97.05,34542.66298,1990.0,0.0,0.0,2720.0,1700.0,258.0
05-10,2021-05-10,459.0,163.0,450.0,0.0084656488549618,252.0,96.29,27578.30698,1596.0,0.0,0.0,2440.0,1580.0,244.0
05-11,2021-05-11,357.0,171.0,433.0,0.0084656488549618,252.0,95.76,21730.04231,1257.0,0.0,0.0,2110.0,1290.0,208.0
05-12,2021-05-12,378.0,179.0,404.0,0.0084656488549618,252.0,95.17,22226.08397,1297.0,0.0,0.0,1900.0,1130.0,189.0
05-13,2021-05-13,391.0,199.0,407.0,0.0084656488549618,252.0,94.65,21541.676570000003,1270.0,0.0,0.0,1860.0,1150.0,192.0
05-14,2021-05-14,570.0,350.0,405.0,0.0084656488549618,252.0,94.24,24094.18184,1400.0,0.0,0.0,1840.0,1160.0,193.0
05-15,2021-05-15,490.0,299.0,428.0,0.0084656488549618,252.0,94.04,16244.99342,960.0,0.0,0.0,1980.0,1250.0,204.0
05-16,2021-05-16,126.0,230.0,447.0,0.0084656488549618,252.0,93.67,19801.1009,1164.0,0.0,0.0,1880.0,1310.0,211.0
05-17,2021-05-17,47.0,241.0,454.0,0.0084656488549618,252.0,92.75,29020.77895,1798.0,0.0,0.0,2000.0,1350.0,216.0
05-18,2021-05-18,30.0,235.0,484.0,0.0084656488549618,252.0,91.53,29657.6713,1815.0,0.0,0.0,2350.0,1490.0,233.0
05-19,2021-05-19,23.0,219.0,503.0,0.0084656488549618,252.0,90.33,27683.6541,1739.0,0.0,0.0,2560.0,1630.0,250.0
05-20,2021-05-20,20.0,188.0,526.0,0.0084656488549618,252.0,89.06,27359.389010000003,1740.0,0.0,0.0,2540.0,1670.0,255.0
05-21,2021-05-21,20.0,181.0,553.0,0.0084656488549618,393.0,87.76,23637.55102,1530.0,0.0,0.0,2580.0,1650.0,252.0
05-22,2021-05-22,20.0,164.0,525.0,0.0084656488549618,393.0,86.62,21725.4678,1410.0,0.0,0.0,2450.0,1600.0,246.0
05-23,2021-05-23,20.0,163.0,455.0,0.0084656488549618,393.0,85.54,13250.19288,887.0,0.0,0.0,2240.0,1430.0,226.0
05-24,2021-05-24,18.0,180.0,384.0,0.0084656488549618,393.0,84.72,19375.98811,1294.0,0.0,0.0,1670.0,1080.0,183.0
05-25,2021-05-25,20.0,183.0,380.0,0.008430534351145,393.0,83.65,17181.14223,1156.0,0.0,0.0,1700.0,904.0,158.0
05-26,2021-05-26,170.0,234.0,384.0,0.0083954198473282,393.0,82.85,10904.77161,748.0,0.0,0.0,1720.0,1020.0,172.0
05-27,2021-05-27,450.0,323.0,447.0,0.0083603053435114,393.0,82.53,15195.21837,1047.0,0.0,0.0,1670.0,1080.0,180.0
05-28,2021-05-28,790.0,376.0,561.0,0.0083251908396946,393.0,82.36,15936.14095,1090.0,0.0,0.0,2020.0,1250.0,200.0
05-29,2021-05-29,980.0,390.0,617.0,0.0082900763358778,393.0,82.49,9831.92955,680.0,0.0,0.0,2410.0,1570.0,238.0
05-30,2021-05-30,1050.0,595.0,676.0,0.008254961832061,393.0,82.79,14396.77264,985.0,0.0,0.0,2440.0,1580.0,239.0
05-31,2021-05-31,1080.0,655.0,634.0,0.0082198473282442,872.0,82.98,16072.38278,1093.0,0.0,0.0,2500.0,1700.0,252.0
06-01,2021-06-01,1160.0,479.0,606.0,0.0081847328244274,872.0,82.98,21643.18824,1470.0,0.0,0.0,2780.0,1830.0,267.0
06-02,2021-06-02,1200.0,462.0,623.0,0.0081496183206106,872.0,82.71,22279.79201,1535.0,0.0,0.0,2920.0,1900.0,275.0
06-03,2021-06-03,1020.0,561.0,660.0,0.0081145038167938,872.0,82.42,21762.32208,1494.0,0.0,0.0,2990.0,1960.0,281.0
06-04,2021-06-04,980.0,429.0,638.0,0.0081145038167938,872.0,82.09,20175.23101,1397.0,0.0,0.0,3030.0,2110.0,298.0
06-05,2021-06-05,1025.0,340.0,590.0,0.0081145038167938,872.0,82.01,13512.97639,939.0,0.0,0.0,2800.0,1920.0,276.0
06-06,2021-06-06,1102.0,311.0,520.0,0.0081145038167938,872.0,82.14,14363.64717,990.0,0.0,0.0,2290.0,1590.0,240.0
06-07,2021-06-07,1140.0,292.0,509.0,0.0081145038167938,872.0,82.15,19822.40171,1360.0,0.0,0.0,2110.0,1340.0,210.0
06-08,2021-06-08,1110.0,412.0,539.0,0.0081145038167938,872.0,81.83,24717.85779,1716.0,0.0,0.0,2400.0,1450.0,224.0
06-09,2021-06-09,1340.0,413.0,532.0,0.0081145038167938,872.0,81.55,19581.19695,1360.0,0.0,0.0,2700.0,1660.0,248.0
06-10,2021-06-10,1375.0,363.0,520.0,0.0081145038167938,872.0,81.45,20573.64527,1442.0,0.0,0.0,2580.0,1680.0,251.0
06-11,2021-06-11,1350.0,346.0,548.0,0.0081145038167938,945.0,81.42,19180.99581,1330.0,0.0,0.0,2520.0,1670.0,249.0
06-12,2021-06-12,1550.0,593.0,761.0,0.0081145038167938,945.0,81.48,19219.61736,1335.0,0.0,0.0,2810.0,1750.0,258.0
06-13,2021-06-13,1800.0,488.0,636.0,0.0081145038167938,945.0,81.93,20521.64882,1430.0,0.0,0.0,2950.0,2040.0,290.0
06-14,2021-06-14,1650.0,366.0,570.0,0.0081145038167938,945.0,82.14,25174.791080000003,1725.0,0.0,0.0,2910.0,1990.0,284.0
06-15,2021-06-15,1570.0,349.0,600.0,0.0081145038167938,945.0,82.01,23395.577650000003,1619.0,0.0,0.0,2990.0,2030.0,289.0
06-16,2021-06-16,1750.0,464.0,627.0,0.0081145038167938,945.0,82.1,23973.9566,1660.0,0.0,0.0,2940.0,2020.0,288.0
06-17,2021-06-17,1575.0,387.0,608.0,0.0081145038167938,945.0,82.17,26631.275060000004,1871.0,0.0,0.0,2910.0,1970.0,282.0
06-18,2021-06-18,1370.0,322.0,645.0,0.0081145038167938,945.0,81.94,25902.99602,1783.0,0.0,0.0,3150.0,2010.0,287.0
06-19,2021-06-19,1230.0,305.0,617.0,0.0081145038167938,945.0,81.55,25239.44789,1760.0,0.0,0.0,3060.0,2010.0,287.0
06-20,2021-06-20,1150.0,318.0,589.0,0.0081145038167938,984.0,81.14,23562.01631,1657.0,0.0,0.0,2890.0,1860.0,269.0
06-21,2021-06-21,1400.0,325.0,572.0,0.0081145038167938,984.0,81.12,17280.73246,1208.0,0.0,0.0,2680.0,1790.0,262.0
06-22,2021-06-22,1300.0,425.0,518.0,0.0081145038167938,984.0,81.1,21177.75718,1480.0,0.0,0.0,2370.0,1540.0,235.0
06-23,2021-06-23,1500.0,488.0,539.0,0.0081145038167938,984.0,81.15,14736.7712,1033.0,0.0,0.0,2530.0,1590.0,240.0
06-24,2021-06-24,1570.0,377.0,506.0,0.0081145038167938,984.0,81.71,17021.051300000003,1174.0,0.0,0.0,2330.0,1650.0,247.0
06-25,2021-06-25,1515.0,340.0,477.0,0.0081087786259541,984.0,81.96,18283.63874,1265.0,0.0,0.0,2210.0,1500.0,229.0
06-26,2021-06-26,1500.0,408.0,477.0,0.0081030534351144,984.0,82.14,17546.61752,1214.0,0.0,0.0,2260.0,1480.0,228.0
06-27,2021-06-27,1700.0,698.0,556.0,0.0080973282442747,984.0,82.54,17263.95881,1188.0,0.0,0.0,2270.0,1480.0,227.0
06-28,2021-06-28,1950.0,483.0,635.0,0.008091603053435,984.0,83.1,17967.136700000003,1226.0,0.0,0.0,2650.0,1610.0,243.0
06-29,2021-06-29,1860.0,387.0,653.0,0.0080858778625953,984.0,83.61,17857.452209999996,1213.0,0.0,0.0,2780.0,1860.0,271.0
06-30,2021-06-30,2310.0,515.0,967.0,0.0080801526717556,802.0,84.36,13280.02601,886.0,0.0,0.0,3080.0,1960.0,281.0
07-01,2021-07-01,2600.0,463.0,985.0,0.0080744274809159,802.0,85.67,18145.20583,1209.0,0.0,0.0,3240.0,2150.0,303.0
07-02,2021-07-02,1875.0,428.0,1100.0,0.0080687022900763,802.0,86.02,20716.82104,1350.0,0.0,0.0,3580.0,2270.0,315.0
07-03,2021-07-03,1925.0,355.0,1080.0,0.0080687022900763,802.0,86.13,26804.71675,1771.0,0.0,0.0,3980.0,2460.0,336.0
07-04,2021-07-04,1850.0,343.0,978.0,0.0080687022900763,802.0,86.24,24470.84925,1600.0,0.0,0.0,3920.0,2530.0,344.0
07-05,2021-07-05,1750.0,375.0,912.0,0.0080687022900763,802.0,86.28,30658.64631,2024.0,0.0,0.0,3640.0,2360.0,326.0
07-06,2021-07-06,1597.0,310.0,894.0,0.0080687022900763,802.0,86.04,30573.51443,2026.0,0.0,0.0,3780.0,2300.0,318.0
07-07,2021-07-07,1390.0,271.0,870.0,0.0080687022900763,802.0,85.65,30596.127240000005,2042.0,0.0,0.0,3790.0,2350.0,324.0
07-08,2021-07-08,1280.0,276.0,840.0,0.0080687022900763,802.0,85.09,30896.892450000003,2088.0,0.0,0.0,3720.0,2320.0,321.0
07-09,2021-07-09,1490.0,301.0,850.0,0.0080687022900763,802.0,84.61,28556.92367,1930.0,0.0,0.0,3690.0,2350.0,325.0
07-10,2021-07-10,1410.0,259.0,827.0,0.0080687022900763,425.0,84.32,27756.56852,1877.0,0.0,0.0,3560.0,2340.0,324.0
